time_ms,delta_v_mph,delta_v_kmh,long_accel_g,delta_v_mps,v_mps,x_m
0,0.0,0,-0.29,0.00,45.00,0.000
10,-3.7,-6,-18.03,-1.67,43.33,0.442
20,-7.5,-12,-15.75,-3.33,41.67,0.867
30,-19.3,-31,-54.64,-8.61,36.39,1.257
40,-32.9,-53,-63.8,-14.72,30.28,1.590
50,-39.1,-63,-28.13,-17.50,27.50,1.879
60,-44.1,-71,-20.94,-19.72,25.28,2.143
70,-46.6,-75,-14.21,-20.83,24.17,2.390
80,-50.3,-81,-14.79,-22.50,22.50,2.624
90,-52.8,-85,-12.94,-23.61,21.39,2.843
100,-54.7,-88,-8.4,-24.44,20.56,3.053
110,-56.5,-91,-9.12,-25.28,19.72,3.254
120,-57.8,-93,-5.27,-25.83,19.17,3.449
130,-58.4,-94,-4.1,-26.11,18.89,3.639
140,-59.7,-96,-4.54,-26.67,18.33,3.825
150,-60.3,-97,-3.54,-26.94,18.06,4.007
160,-60.3,-97,-1.02,-26.94,18.06,4.188
170,-60.9,-98,-0.6,-27.22,17.78,4.367
180,-60.9,-98,0.09,-27.22,17.78,4.545
190,-60.9,-98,-0.41,-27.22,17.78,4.723
