index_i,unpinned,pinned
1,0.000000,0.003133
2,0.015771+0.005013i,0.017800
3,0.015771-0.005013i,0.025299
4,0.062834+0.009948i,0.070543+0.004897i
5,0.062834-0.009948i,0.070543-0.004897i
6,0.140447+0.014725i,0.149078+0.010995i
7,0.140447-0.014725i,0.149078-0.010995i
8,0.247387+0.019270i,0.256489+0.016240i
9,0.247387-0.019270i,0.256489-0.016240i
10,0.381966+0.023511i,0.391330+0.020938i
11,0.381966-0.023511i,0.391330-0.020938i
12,0.542063+0.027382i,0.551584+0.025125i
13,0.542063-0.027382i,0.551584-0.025125i
14,0.725152+0.030821i,0.734773+0.028787i
15,0.725152-0.030821i,0.734773-0.028787i
16,0.928346+0.033773i,0.938033+0.031900i
17,0.928346-0.033773i,0.938033-0.031900i
18,1.148441+0.036193i,1.158173+0.034434i
19,1.148441-0.036193i,1.158173-0.034434i
20,1.381966+0.038042i,1.391728+0.036361i
21,1.381966-0.038042i,1.391728-0.036361i
22,1.625237+0.039291i,1.635020+0.037658i
23,1.625237-0.039291i,1.635020-0.037658i
24,1.874419+0.039921i,1.884214+0.038310i
25,1.874419-0.039921i,1.884214-0.038310i
26,2.125581+0.039921i,2.135383+0.038307i
27,2.125581-0.039921i,2.135383-0.038307i
28,2.374763+0.039291i,2.384565+0.037649i
29,2.374763-0.039291i,2.384565-0.037649i
30,2.618034+0.038042i,2.627831+0.036345i
31,2.618034-0.038042i,2.627831-0.036345i
32,2.851559+0.036193i,2.861342+0.034408i
33,2.851559-0.036193i,2.861342-0.034408i
34,3.071654+0.033773i,3.081414+0.031861i
35,3.071654-0.033773i,3.081414-0.031861i
36,3.274848+0.030821i,3.284570+0.028726i
37,3.274848-0.030821i,3.284570-0.028726i
38,3.457937+0.027382i,3.467598+0.025029i
39,3.457937-0.027382i,3.467598-0.025029i
40,3.618034+0.023511i,3.627591+0.020778i
41,3.618034-0.023511i,3.627591-0.020778i
42,3.752613+0.019270i,3.761982+0.015950i
43,3.752613-0.019270i,3.761982-0.015950i
44,3.859553+0.014725i,3.868535+0.010400i
45,3.859553-0.014725i,3.868535-0.010400i
46,3.937166+0.009948i,3.945197+0.003065i
47,3.937166-0.009948i,3.945197-0.003065i
48,3.984229+0.005013i,3.985219
49,3.984229-0.005013i,3.993440
50,4.000000,4.061166
